City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Hervey Bay,AU,76.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
278,Sao Jose Da Coroa Grande,BR,79.75,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
279,San Felipe,VE,79.07,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
282,Surt,LY,77.47,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
283,Puerto Gaitan,CO,87.76,overcast clouds,4.3133,-72.0816,Brisas del Yucao
288,Kavieng,PG,82.31,broken clouds,-2.5744,150.7967,Nusa Island Retreat
289,Russell,US,76.15,broken clouds,32.3502,-85.1999,Macs
296,West Bay,KY,89.67,broken clouds,19.3667,-81.4167,Calypso Cove
297,Atambua,ID,75.61,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
303,Patrocinio,BR,77.32,overcast clouds,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
304,Urubamba,PE,77.9,overcast clouds,-13.3047,-72.1158,"Tambo del Inka, a Luxury Collection Resort & Spa, Valle Sagrado"
306,Kencong,ID,76.42,broken clouds,-8.2833,113.3667,GUBUK SUGIANTO
312,Gouyave,GD,86.77,few clouds,12.1646,-61.7296,Rumboat Retreat
314,Omboue,GA,77.65,overcast clouds,-1.5746,9.2618,Hotel Olako
319,Escalerillas,MX,75.72,overcast clouds,22.1333,-101.0667,Hilton San Luis Potosi
321,Maningrida,AU,78.91,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
322,Port Keats,AU,80.74,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
323,Nioro,GM,82.53,overcast clouds,13.35,-15.75,
324,Kimbe,PG,75.38,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
328,Oussouye,SN,86.18,light rain,12.485,-16.5469,Auberge du Routard
330,Diebougou,BF,81.77,scattered clouds,10.9667,-3.25,Hotel Le Consulat
337,Kavaratti,IN,81.75,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
344,Jesup,US,82.38,clear sky,31.6074,-81.8854,Western Motel
345,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
350,Biltine,TD,88.23,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
