City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Juan De Los Lagos,MX,21.25,-102.3,78.51,34,44,2.98,scattered clouds
80,Port Elizabeth,ZA,-33.918,25.5701,57.49,88,75,5.75,broken clouds
81,Bengkulu,ID,-3.8004,102.2655,75.47,89,100,5.37,light rain
82,Kilkenny,IE,52.6542,-7.2522,55.13,90,51,1.01,broken clouds
83,Gusau,NG,12.1628,6.6614,83.66,21,48,7.14,scattered clouds
84,Alihe,CN,50.5667,123.7167,33.39,79,5,2.71,clear sky
85,Tombouctou,ML,20.0,-3.0,88.65,21,2,6.51,clear sky
86,Topchikha,RU,52.8192,83.1185,46.98,54,100,15.5,overcast clouds
87,Yerbogachen,RU,61.2767,108.0108,34.41,98,100,9.31,light rain
88,Hofn,IS,64.2539,-15.2082,42.94,87,100,14.99,moderate rain
89,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.1,62,98,4.72,overcast clouds
90,Faya,SA,18.3851,42.4509,62.71,62,8,0.56,clear sky
91,Kuryk,KZ,43.2,51.65,55.06,51,31,5.01,scattered clouds
92,Barrow,US,71.2906,-156.7887,28.42,80,90,5.75,overcast clouds
93,Richards Bay,ZA,-28.783,32.0377,61.32,76,60,4.41,broken clouds
94,Port Lincoln,AU,-34.7333,135.8667,52.02,76,0,12.75,clear sky
95,Ponta Do Sol,PT,32.6667,-17.1,71.71,71,97,5.75,overcast clouds
96,Khatanga,RU,71.9667,102.5,0.25,90,84,16.78,broken clouds
97,Komsomolskiy,UZ,40.4272,71.7189,45.32,57,0,6.91,clear sky
98,Gorontalo,ID,0.5412,123.0595,74.62,89,100,2.64,overcast clouds
99,Berlevag,NO,70.8578,29.0864,30.15,86,75,10.36,broken clouds
100,Riverton,US,40.5219,-111.9391,61.83,64,90,7.0,overcast clouds
101,Hueytown,US,33.4512,-86.9967,74.89,66,1,4.61,clear sky
102,Bluff,NZ,-46.6,168.3333,52.83,94,100,4.34,overcast clouds
103,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,74,0,6.24,clear sky
104,Hasaki,JP,35.7333,140.8333,48.6,51,34,6.6,scattered clouds
105,Roros,NO,62.5747,11.3842,36.03,91,100,7.85,overcast clouds
106,Srednekolymsk,RU,67.45,153.6833,-6.47,95,99,2.01,overcast clouds
107,Puerto Escondido,MX,15.85,-97.0667,84.76,68,100,6.44,overcast clouds
108,Udachnyy,RU,66.4167,112.4,10.76,99,98,3.4,overcast clouds
109,Jalu,LY,29.0331,21.5482,76.75,28,6,11.34,clear sky
110,Shimoda,JP,34.6667,138.95,58.1,64,97,14.09,overcast clouds
111,Thompson,CA,55.7435,-97.8558,32.16,86,75,3.44,broken clouds
112,Paamiut,GL,61.994,-49.6678,31.44,40,0,13.87,clear sky
113,Cedar City,US,37.6775,-113.0619,56.37,45,90,24.16,overcast clouds
114,Quatre Cocos,MU,-20.2078,57.7625,75.09,70,84,15.05,broken clouds
115,Nome,US,64.5011,-165.4064,28.47,86,90,4.61,light snow
116,Marica,BR,-22.9194,-42.8186,84.25,89,100,18.86,overcast clouds
117,Guerrero Negro,MX,27.9769,-114.0611,71.33,56,1,14.03,clear sky
118,Tilichiki,RU,60.4667,166.1,5.07,93,50,9.04,scattered clouds
119,Mataura,NZ,-46.1927,168.8643,53.47,95,100,2.64,overcast clouds
120,Veinticinco De Mayo,AR,-35.4323,-60.1727,77.05,29,0,15.99,clear sky
121,Qaanaaq,GL,77.484,-69.3632,-3.05,60,0,11.59,clear sky
122,Walvis Bay,NA,-22.9575,14.5053,60.1,82,0,6.91,clear sky
123,Port Augusta,AU,-32.5,137.7667,53.74,64,0,6.67,clear sky
124,Chuy,UY,-33.6971,-53.4616,66.4,48,1,8.41,clear sky
125,Asau,RO,46.4333,26.4,39.96,70,7,0.89,clear sky
126,Haines Junction,CA,60.7522,-137.5108,24.75,93,54,2.3,broken clouds
127,Kurilsk,RU,45.2333,147.8833,43.54,75,2,3.74,clear sky
128,Santana Do Livramento,BR,-30.8908,-55.5328,70.2,44,0,6.29,clear sky
129,Lena,ES,43.1,-5.7333,50.76,67,100,0.87,light rain
130,Dunedin,NZ,-45.8742,170.5036,58.8,91,85,5.99,overcast clouds
131,Saint George,US,37.1041,-113.5841,72.07,38,1,1.01,clear sky
132,Olafsvik,IS,64.8945,-23.7142,41.86,86,100,19.3,light rain
133,Bandarbeyla,SO,9.4942,50.8122,78.62,78,27,8.43,scattered clouds
134,Valdez,EC,1.2492,-78.9831,80.01,79,59,11.83,broken clouds
135,Xichang,CN,27.8964,102.2634,58.42,85,100,1.23,overcast clouds
136,Turukhansk,RU,65.8167,87.9833,26.33,96,100,13.53,light snow
137,Robertsport,LR,6.7533,-11.3686,79.93,81,100,6.93,light rain
138,Dikson,RU,73.5069,80.5464,8.91,88,100,18.39,light snow
139,Sibolga,ID,1.7427,98.7792,74.84,90,98,1.83,overcast clouds
140,Sorland,NO,67.667,12.6934,41.07,95,100,23.38,moderate rain
141,Airai,TL,-8.9266,125.4092,61.07,85,100,1.3,overcast clouds
142,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,77,20,11.56,few clouds
143,Coquimbo,CL,-29.9533,-71.3436,64.13,63,0,14.97,clear sky
144,Codrington,AU,-38.2667,141.9667,50.27,65,100,9.78,overcast clouds
145,Bundaberg,AU,-24.85,152.35,76.21,95,75,1.99,broken clouds
146,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,100,10.78,overcast clouds
147,Pevek,RU,69.7008,170.3133,6.24,94,100,3.22,overcast clouds
148,Severo-Kurilsk,RU,50.6789,156.125,38.61,76,45,18.54,light rain
149,Cayenne,GF,4.9333,-52.3333,84.24,85,20,5.99,few clouds
150,Cabo San Lucas,MX,22.8909,-109.9124,90.61,63,1,6.42,clear sky
151,Sampit,ID,-2.5333,112.95,73.87,94,27,1.23,scattered clouds
152,Takoradi,GH,4.8845,-1.7554,78.17,85,35,6.08,scattered clouds
153,Carnarvon,AU,-24.8667,113.6333,68.07,73,75,14.97,broken clouds
154,Sitka,US,57.0531,-135.33,46.29,66,40,3.44,scattered clouds
155,Nongan,CN,44.382,125.1685,45.01,81,52,10.0,broken clouds
156,Norman Wells,CA,65.282,-126.8329,23.04,93,90,4.61,overcast clouds
157,Pitimbu,BR,-7.4706,-34.8086,84.79,68,68,9.46,broken clouds
158,Hailar,CN,49.2,119.7,32.5,58,8,6.26,clear sky
159,San Quintin,MX,30.4833,-115.95,67.96,64,29,15.23,scattered clouds
160,Kendari,ID,-3.945,122.4989,76.37,91,100,0.83,overcast clouds
161,Ilulissat,GL,69.2167,-51.1,7.63,73,100,6.08,overcast clouds
162,Havoysund,NO,70.9963,24.6622,30.43,78,81,12.21,broken clouds
163,Rio Grande,BR,-32.035,-52.0986,73.51,50,0,5.39,clear sky
164,Portland,US,45.5234,-122.6762,59.09,84,90,5.99,overcast clouds
165,Laguna,US,38.421,-121.4238,64.45,90,90,5.01,heavy intensity rain
166,Faanui,PF,-16.4833,-151.75,77.63,83,100,12.91,light rain
167,Ulladulla,AU,-35.35,150.4667,50.9,89,82,2.37,broken clouds
168,Svetlogorsk,BY,52.6333,29.7333,33.15,75,59,5.86,broken clouds
169,Nelson Bay,AU,-32.7167,152.15,57.96,94,43,3.27,scattered clouds
170,Isangel,VU,-19.55,169.2667,69.91,94,34,2.3,scattered clouds
171,Ayagoz,KZ,47.9714,80.4392,36.79,43,5,6.71,clear sky
172,Birin,NP,26.8865,88.0718,56.19,84,42,3.13,scattered clouds
173,Linxia,CN,35.6003,103.2064,44.17,75,38,2.35,scattered clouds
174,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,75,2.3,broken clouds
175,Dezhou,CN,37.4486,116.2925,49.89,69,25,7.52,scattered clouds
176,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,13.8,overcast clouds
177,Orthez,FR,43.4884,-0.7724,57.42,65,0,2.06,clear sky
178,Fairbanks,US,64.8378,-147.7164,27.23,90,90,0.0,mist
179,Plettenberg Bay,ZA,-34.0527,23.3716,55.22,73,0,4.09,clear sky
180,Wilmington,US,34.2257,-77.9447,79.99,71,1,9.22,clear sky
181,Coihaique,CL,-45.5752,-72.0662,49.95,81,90,12.66,heavy intensity rain
182,Kingori,TZ,-3.2833,36.9833,68.23,67,8,5.5,clear sky
183,Pisco,PE,-13.7,-76.2167,69.85,60,0,18.41,clear sky
184,Wanning,CN,18.8003,110.3967,70.18,85,98,9.6,overcast clouds
185,Muisne,EC,0.6,-80.0333,77.36,81,100,10.92,overcast clouds
186,Bambous Virieux,MU,-20.3428,57.7575,75.22,78,40,12.66,scattered clouds
187,Victoria,HK,22.2855,114.1577,69.33,75,14,1.01,light rain
188,Ciudad Bolivar,VE,8.1222,-63.5497,82.08,71,100,13.42,light rain
189,Don Sak,TH,9.3168,99.6918,82.15,83,100,5.48,light rain
190,Wenling,CN,28.3669,121.36,58.1,83,2,9.73,light rain
191,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,88,100,11.52,light rain
192,Kichera,RU,55.9375,110.0997,36.0,97,100,6.38,light rain
193,Xingyi,CN,24.1877,102.817,53.19,98,100,2.64,overcast clouds
194,Yokadouma,CM,3.5167,15.05,70.65,99,99,1.95,moderate rain
195,Loiza,PR,18.4313,-65.8802,87.87,74,40,11.5,light rain
196,Caravelas,BR,-17.7125,-39.2481,79.03,81,1,11.5,clear sky
197,Vardo,NO,70.3705,31.1107,30.18,80,40,4.61,light snow
198,Tornio,FI,65.8481,24.1466,32.02,98,100,16.13,overcast clouds
199,Aripuana,BR,-9.1667,-60.6333,92.8,45,58,4.03,broken clouds
200,Manuk Mangkaw,PH,4.8,119.85,82.4,75,84,5.84,broken clouds
201,Fare,PF,-16.7,-151.0167,74.93,92,100,5.32,moderate rain
202,Yemtsa,RU,63.0734,40.3329,23.54,89,13,7.81,few clouds
203,Dingle,PH,10.9995,122.6711,75.24,93,97,3.18,overcast clouds
204,Porto Novo,BJ,6.4965,2.6036,82.22,81,37,4.61,scattered clouds
205,San Pedro De Uraba,CO,8.2752,-76.3764,82.89,80,100,4.0,overcast clouds
206,Sorsk,RU,54.0033,90.2467,37.24,92,100,6.96,overcast clouds
207,Cururupu,BR,-1.8283,-44.8683,85.05,61,2,5.88,clear sky
208,Yumen,CN,40.2833,97.2,43.84,37,100,15.12,overcast clouds
209,Santa Cruz De La Palma,ES,28.6835,-17.7642,73.54,73,75,8.05,broken clouds
210,Trabzon,TR,40.9167,39.8333,55.49,77,40,4.61,scattered clouds
211,Deputatskiy,RU,69.3,139.9,-0.92,98,100,1.21,overcast clouds
212,Comarapa,BO,-17.9,-64.4833,58.39,51,100,2.44,overcast clouds
213,Tiksi,RU,71.6872,128.8694,0.72,100,100,5.32,overcast clouds
214,Valenca Do Piaui,BR,-6.4075,-41.7456,86.86,47,82,1.74,broken clouds
215,Cape Town,ZA,-33.9258,18.4232,60.28,71,20,5.01,few clouds
216,Kijang,KR,35.2442,129.2139,49.73,56,100,4.54,overcast clouds
217,Mangai,CD,-4.05,19.5333,72.37,93,100,0.38,overcast clouds
218,Meulaboh,ID,4.1363,96.1285,74.32,91,100,4.54,overcast clouds
219,Central Point,US,42.376,-122.9164,58.42,84,90,1.01,light rain
220,Vila Velha,BR,-20.3297,-40.2925,84.15,74,20,18.41,few clouds
221,Upernavik,GL,72.7868,-56.1549,16.27,67,94,8.41,overcast clouds
222,Barbate,ES,36.1924,-5.9219,70.21,83,11,12.86,few clouds
223,Vestmannaeyjar,IS,63.4427,-20.2734,46.87,90,100,5.26,overcast clouds
224,Cidreira,BR,-30.1811,-50.2056,68.34,50,0,10.29,clear sky
225,Biankouma,CI,7.7391,-7.6138,70.86,95,88,1.99,moderate rain
226,Manhattan,US,40.7834,-73.9662,61.18,56,90,4.61,overcast clouds
227,Warri,NG,5.5167,5.75,77.52,86,38,4.45,scattered clouds
228,Vanimo,PG,-2.6741,141.3028,76.8,89,100,4.05,overcast clouds
229,Tuatapere,NZ,-46.1333,167.6833,55.09,94,99,3.4,overcast clouds
230,Tomatlan,MX,19.9333,-105.25,89.24,59,100,6.11,overcast clouds
231,Kathmandu,NP,27.7167,85.3167,61.02,94,20,2.3,few clouds
232,Zhigansk,RU,66.7697,123.3711,11.91,96,85,4.83,overcast clouds
233,Lavrentiya,RU,65.5833,-171.0,21.88,84,100,10.04,overcast clouds
234,Mardin,TR,37.3131,40.7436,57.88,18,0,3.91,clear sky
235,That Phanom,TH,16.9364,104.7104,63.97,82,85,6.4,overcast clouds
236,Nanortalik,GL,60.1432,-45.2371,32.95,94,100,1.36,light snow
237,Barinas,VE,8.6226,-70.2075,85.66,61,96,6.89,overcast clouds
238,Galveston,US,29.3669,-94.9669,90.21,74,1,4.0,clear sky
239,Ust-Nera,RU,64.5667,143.2,7.97,97,99,6.53,overcast clouds
240,Biak,ID,-0.9131,122.8766,76.21,74,100,3.11,overcast clouds
241,Georgetown,MY,5.4112,100.3354,78.73,93,20,1.01,few clouds
242,Mikhaylovka,RU,50.06,43.2379,40.44,62,70,8.34,broken clouds
243,Constitucion,CL,-35.3333,-72.4167,63.59,65,4,18.68,clear sky
244,Bay Roberts,CA,47.5999,-53.2648,59.43,87,88,13.0,overcast clouds
245,Tiznit,MA,29.5833,-9.5,67.55,56,100,0.92,overcast clouds
246,Ruwi,OM,23.5996,58.5507,84.27,59,2,4.9,clear sky
247,Natal,BR,-5.795,-35.2094,84.85,70,75,13.8,broken clouds
248,Umm Kaddadah,SD,13.6017,26.6876,87.08,18,5,14.36,clear sky
249,Bairnsdale,AU,-37.8333,147.6167,49.69,81,59,1.01,broken clouds
250,Adamantina,BR,-21.6853,-51.0725,73.15,91,100,7.94,light rain
251,Mul,IN,20.0667,79.6667,67.1,75,12,2.95,few clouds
252,La Paz,BO,-16.5,-68.15,67.98,12,20,19.57,few clouds
253,Samarai,PG,-10.6167,150.6667,81.18,81,36,11.01,scattered clouds
254,Matara,LK,5.9485,80.5353,77.23,89,100,7.96,overcast clouds
255,Igrim,RU,63.1906,64.4162,27.73,90,100,1.57,overcast clouds
